venda_id,data_venda,produto_id,quantidade_vendida,preco_venda_unitario,canal_venda,foi_promocao,evento_lancamento,observacao_demanda
119,2025-11-20,116,1,10.82,Loja Física,0,0,Normal
120,2025-11-20,118,4,19.12,Site,1,0,Pico
121,2025-11-20,122,1,148.8,Site,0,0,Normal
122,2025-11-20,123,1,20.75,Site,0,0,Pico
123,2025-11-20,124,2,61.58,Marketplace,0,0,Pico
124,2025-11-20,125,1,36.47,Loja Física,0,0,Pico
125,2025-11-20,129,1,60.13,Marketplace,0,0,Normal
126,2025-11-20,130,1,6.1,Marketplace,0,0,Normal
127,2025-11-20,132,1,120.97,Site,0,0,Pico
128,2025-11-20,133,1,40.48,Site,0,0,Normal
129,2025-11-20,136,3,124.58,Site,1,0,Pico
130,2025-11-20,138,4,26.78,Site,1,0,Pico
131,2025-11-20,144,1,37.42,Marketplace,0,0,Normal
132,2025-11-20,145,1,124.65,Site,0,0,Pico
133,2025-11-20,146,1,68.73,Site,0,0,Normal
134,2025-11-20,150,2,28.09,marketplace,0,1,Pico
135,2025-11-20,152,1,82.92,Loja Física,0,0,Normal
136,2025-11-20,157,1,36.41,Marketplace,0,0,Normal
137,2025-11-20,160,3,18.32,Site,0,1,Pico
138,2025-11-20,161,2,88.69,Site,0,0,Normal
139,2025-11-20,166,1,26.6,Site,0,0,Normal
140,2025-11-20,169,1,21.4,Site,0,0,Normal
141,2025-11-20,174,2,407.29,Marketplace,0,1,Pico
142,2025-11-20,175,1,38.07,Marketplace,0,0,Normal
143,2025-11-20,176,2,118.59,Marketplace,0,0,Normal
144,2025-11-20,179,1,68.96,Site,0,0,Normal
145,2025-11-20,180,1,120.02,loja fisica,0,0,Normal
146,2025-11-20,182,1,42.05,Site,0,1,Pico
147,2025-11-20,183,3,32.17,Marketplace,0,0,Pico
148,2025-11-20,185,1,38.45,Marketplace,0,0,Normal
149,2025-11-20,186,1,44.79,Site,0,0,Normal
150,2025-11-20,189,1,122.94,Site,0,0,Pico
151,2025-11-20,192,2,43.83,Marketplace,0,0,Normal
152,2025-11-20,193,4,283.3,Site,1,0,Pico
153,2025-11-20,194,5,25.94,Site,0,1,Pico
154,2025-11-20,195,2,26.36,Loja Física,0,0,Normal
155,2025-11-20,197,1,87.95,Marketplace,0,0,Normal
156,2025-11-20,208,1,62.78,Marketplace,0,0,Normal
157,2025-11-20,209,2,126.59,Marketplace,0,0,Normal
158,2025-11-20,210,1,25.18,Marketplace,0,0,Pico
159,2025-11-20,211,1,41.31,Site,0,0,Normal
160,2025-11-20,212,3,31.67,Site,0,0,Pico
161,2025-11-20,213,5,31.03,Marketplace,0,0,Pico
162,2025-11-20,214,1,180.76,Site,0,0,Normal
163,2025-11-20,220,1,127.12,Marketplace,0,0,Normal
164,2025-11-20,221,24,37.07,Site,1,0,Pico
165,2025-11-20,223,2,14.09,Site,0,0,Pico
166,2025-11-20,224,1,284.12,Site,0,1,Pico
167,2025-11-20,227,1,31.97,Marketplace,0,0,Normal
168,2025-11-20,229,1,33.6,Site,0,0,Pico
169,2025-11-20,230,2,34.88,Site,0,0,Normal
170,2025-11-20,233,2,27.09,Site,1,0,Pico
171,2025-11-20,235,1,81.45,Marketplace,0,0,Pico
172,2025-11-20,238,2,33.18,Marketplace,0,0,Pico
173,2025-11-20,239,1,42.98,Marketplace,0,0,Normal
174,2025-11-20,243,2,21.44,Loja Física,0,1,Pico
175,2025-11-20,245,1,86.68,Marketplace,0,0,Pico
176,2025-11-20,249,5,110.75,Site,0,0,Pico
177,2025-11-21,2,1,49.12,Marketplace,0,1,Pico
178,2025-11-21,4,1,93.45,Marketplace,0,0,Normal
179,2025-11-21,6,1,26.9,Loja Física,0,0,Pico
180,2025-11-21,8,2,208.7,Site,0,0,Normal
181,2025-11-21,14,3,40.11,Site,0,0,Pico
182,2025-11-21,16,1,139.08,Marketplace,0,0,Normal
183,2025-11-21,17,1,137.07,Site,0,0,Normal
184,2025-11-21,19,1,38.6,Site,0,0,Normal
185,2025-11-21,22,1,50.95,Site,0,0,Normal
186,2025-11-21,25,1,34.77,Marketplace,0,0,Normal
187,2025-11-21,26,1,17.38,Marketplace,0,0,Normal
188,2025-11-21,27,1,112.89,Site,0,0,Normal
189,2025-11-21,28,1,31.52,Marketplace,0,0,Normal
190,2025-11-21,31,1,141.33,Marketplace,0,0,Pico
191,2025-11-21,34,12,54.42,Loja Física,0,0,Pico
192,2025-11-21,36,2,114.09,Site,0,0,Pico
193,2025-11-21,37,1,25.73,Site,0,0,Normal
194,2025-11-21,39,3,22.78,Marketplace,0,0,Pico
195,2025-11-21,40,3,31.94,Marketplace,0,0,Normal
196,2025-11-21,41,1,138.27,Marketplace,0,0,Normal
197,2025-11-21,44,1,138.28,Site,0,0,Pico
198,2025-11-21,45,1,41.05,Marketplace,0,0,Normal
199,2025-11-21,46,1,136.47,Site,0,0,Normal
200,2025-11-21,48,2,90.54,Site,0,1,Pico
201,2025-11-21,50,2,21.66,Site,0,0,Normal
202,2025-11-21,53,1,29.43,Site,0,0,Normal
203,2025-11-21,55,1,20.21,Site,0,0,Normal
204,2025-11-21,57,1,52.9,Site,0,0,Pico
205,2025-11-21,59,1,381.26,Site,0,0,Normal
206,2025-11-21,61,1,41.92,Site,0,0,Normal
207,2025-11-21,62,2,148.68,Site,0,0,Pico
208,2025-11-21,64,1,34.44,Marketplace,0,0,Pico
209,2025-11-21,66,1,115.56,Loja Física,0,0,Normal
210,2025-11-21,72,5,119.72,Loja Física,1,0,Pico
211,2025-11-21,75,2,64.27,Site,0,0,Normal
212,2025-11-21,76,1,42.19,Site,0,0,Normal
213,2025-11-21,79,1,118.07,Site,0,0,Pico
214,2025-11-21,80,1,135.58,Loja Física,0,0,Normal
215,2025-11-21,82,1,224.25,Marketplace,0,0,Normal
216,2025-11-21,84,1,22.66,Site,0,0,Normal
217,2025-11-21,88,1,113.03,Marketplace,0,0,Normal
218,2025-11-21,89,1,21.63,Marketplace,0,0,Pico
219,2025-11-21,90,5,131.16,Site,1,0,Pico
220,2025-11-21,91,2,29.96,Site,0,0,Normal
221,2025-11-21,92,1,11.1,Site,0,0,Normal
222,2025-11-21,96,1,43.51,Marketplace,0,0,Normal
223,2025-11-21,97,2,42.66,Site,0,0,Pico
224,2025-11-21,101,3,22.67,Market Place,1,0,Pico
225,2025-11-21,102,5,142.36,Site,1,0,Pico
226,2025-11-21,103,2,91.19,Marketplace,0,0,Pico
227,2025-11-21,108,2,37.7,Site,0,0,Normal
228,2025-11-21,109,1,38.05,Site,0,0,Normal
229,2025-11-21,115,1,21.8,Marketplace,0,0,Normal
230,2025-11-21,118,2,19.12,Site,0,0,Normal
231,2025-11-21,119,1,23.27,Marketplace,0,0,Normal
232,2025-11-21,120,1,349.63,Marketplace,0,0,Normal
233,2025-11-21,123,1,20.75,Marketplace,0,0,Pico
234,2025-11-21,125,1,36.47,Site,0,0,Pico
235,2025-11-21,126,1,96.37,Marketplace,0,0,Pico
236,2025-11-21,129,2,60.13,Site,1,0,Pico
237,2025-11-21,132,1,120.97,Site,0,0,Pico
238,2025-11-21,133,1,40.48,Site,0,0,Normal
239,2025-11-21,137,1,96.11,Site,0,1,Pico
240,2025-11-21,139,4,69.72,Site,0,0,Pico
241,2025-11-21,145,2,124.65,Loja Física,0,0,Pico
242,2025-11-21,146,1,68.73,Site,0,0,Normal
243,2025-11-21,147,2,21.44,Site,0,1,Pico
244,2025-11-21,148,1,25.82,Site,0,0,Normal
245,2025-11-21,149,2,74.84,Site,0,0,Normal
246,2025-11-21,150,4,28.09,Site,0,1,Pico
247,2025-11-21,151,5,23.44,Site,1,0,Pico
248,2025-11-21,157,3,36.41,Site,0,0,Normal
249,2025-11-21,158,3,139.61,Marketplace,1,0,Pico
250,2025-11-21,159,1,38.7,Site,0,0,Pico
251,2025-11-21,160,5,18.32,Site,1,1,Pico
252,2025-11-21,163,3,258.46,Marketplace,1,1,Pico
253,2025-11-21,164,6,279.03,Marketplace,1,1,Pico
254,2025-11-21,166,3,26.6,Site,0,0,Normal
255,2025-11-21,167,1,36.99,Loja Física,0,1,Pico
256,2025-11-21,168,1,38.5,Site,0,0,Normal
257,2025-11-21,175,1,38.07,Site,0,0,Normal
258,2025-11-21,179,1,68.96,Site,0,0,Normal
259,2025-11-21,182,4,42.05,Marketplace,0,1,Pico
260,2025-11-21,187,1,235.86,Site,0,0,Normal
261,2025-11-21,188,1,71.75,Marketplace,0,0,Normal
262,2025-11-21,191,4,112.76,Site,1,0,Pico
263,2025-11-21,192,2,43.83,Site,0,0,Normal
264,2025-11-21,194,7,25.94,Site,1,1,Pico
265,2025-11-21,196,2,27.02,Site,0,0,Normal
266,2025-11-21,197,2,87.95,Site,0,0,Normal
267,2025-11-21,199,1,409.21,Site,0,0,Normal
268,2025-11-21,204,1,42.24,Loja Física,0,0,Normal
269,2025-11-21,212,2,31.67,Site,0,0,Pico
270,2025-11-21,213,4,31.03,Loja Física,0,0,Pico
271,2025-11-21,214,5,180.76,Loja Física,1,0,Pico
272,2025-11-21,218,1,55.58,Site,0,0,Normal
273,2025-11-21,221,1,37.07,Site,0,0,Normal
274,2025-11-21,224,1,284.12,Site,0,1,Pico
275,2025-11-21,226,2,98.4,Loja Física,0,0,Normal
276,2025-11-21,228,2,99.49,Loja Física,0,0,Normal
277,2025-11-21,229,1,33.6,Site,0,0,Pico
278,2025-11-21,230,3,34.88,Site,0,0,Normal
279,2025-11-21,233,4,27.09,Marketplace,0,0,Pico
280,2025-11-21,235,2,81.45,Site,0,0,Pico
281,2025-11-21,238,3,33.18,Site,0,0,Pico
282,2025-11-21,239,1,42.98,Site,0,0,Normal
283,2025-11-21,242,1,63.4,Loja Física,0,0,Pico
284,2025-11-21,243,2,21.44,Marketplace,0,1,Pico
285,2025-11-21,244,1,138.14,Site,0,0,Normal
286,2025-11-21,245,1,86.68,Site,0,0,Pico
287,2025-11-21,246,2,229.07,Marketplace,0,0,Normal
288,2025-11-21,247,1,21.19,Site,0,1,Pico
289,2025-11-21,249,1,110.75,Site,0,0,Pico
290,2025-11-22,2,1,49.12,Site,0,1,Pico
291,2025-11-22,4,1,93.45,Site,0,0,Normal
292,2025-11-22,5,1,142.97,LOJA FÍSICA,0,0,Normal
293,2025-11-22,6,1,26.9,Site,0,0,Pico
294,2025-11-22,10,1,27.39,Site,0,0,Pico
295,2025-11-22,13,1,93.39,Site,0,0,Normal
296,2025-11-22,14,1,40.11,Site,0,0,Pico
297,2025-11-22,18,1,44.34,Site,0,0,Normal
298,2025-11-22,19,3,38.6,Site,0,0,Normal
299,2025-11-22,21,1,145.78,Marketplace,0,0,Pico
300,2025-11-22,23,1,51.77,Marketplace,0,0,Pico
301,2025-11-22,28,1,31.52,Site,0,0,Normal
302,2025-11-22,31,2,141.33,Marketplace,0,0,Pico
303,2025-11-22,32,1,36.12,Site,0,0,Normal
304,2025-11-22,33,1,43.42,Site,0,1,Pico
305,2025-11-22,34,2,54.42,Site,0,0,Pico
306,2025-11-22,36,1,114.09,Site,0,0,Pico
307,2025-11-22,39,4,22.78,Site,1,0,Pico
308,2025-11-22,41,5,138.27,Site,1,0,Pico
309,2025-11-22,43,2,44.66,Site,0,0,Normal
310,2025-11-22,48,2,90.54,Marketplace,0,1,Pico
311,2025-11-22,52,2,17.86,Marketplace,0,0,Normal
312,2025-11-22,53,3,29.43,Site,0,0,Normal
313,2025-11-22,58,1,64.51,Marketplace,0,0,Normal
314,2025-11-22,60,1,23.86,Site,0,0,Normal
315,2025-11-22,61,1,41.92,Loja Física,0,0,Normal
316,2025-11-22,63,4,123.11,Site,1,0,Pico
317,2025-11-22,65,3,39.85,Marketplace,0,0,Pico
318,2025-11-22,66,1,115.56,Site,0,0,Normal
319,2025-11-22,70,1,37.97,Loja Física,0,0,Normal
320,2025-11-22,73,4,62.61,Site,1,0,Pico
321,2025-11-22,75,1,64.27,Site,0,0,Normal
322,2025-11-22,81,2,243.96,Site,0,0,Normal
323,2025-11-22,83,1,408.98,Marketplace,0,0,Normal
324,2025-11-22,84,1,22.66,Site,0,0,Normal
325,2025-11-22,86,3,40.16,Site,0,0,Pico
326,2025-11-22,90,1,131.16,Site,0,0,Normal
327,2025-11-22,93,1,141.99,Site,0,0,Normal
328,2025-11-22,97,2,42.66,Marketplace,0,0,Pico
329,2025-11-22,98,1,126.05,Marketplace,0,0,Normal
330,2025-11-22,103,4,91.19,Marketplace,0,0,Pico
331,2025-11-22,106,1,99.49,loja fisica,0,0,Normal
332,2025-11-22,108,1,37.7,Site,0,0,Normal
333,2025-11-22,109,1,38.05,Site,0,0,Normal
334,2025-11-22,114,1,104.84,Marketplace,0,0,Normal
335,2025-11-22,116,1,10.82,Site,0,0,Normal
336,2025-11-22,118,1,19.12,Site,0,0,Normal
337,2025-11-22,119,3,23.27,Loja Física,1,0,Pico
338,2025-11-22,120,1,349.63,Site,0,0,Normal
339,2025-11-22,122,3,148.8,Loja Física,1,0,Pico
340,2025-11-22,124,5,61.58,Site,1,0,Pico
341,2025-11-22,125,1,36.47,Site,0,0,Pico
342,2025-11-22,131,3,43.24,Site,0,0,Pico
343,2025-11-22,145,1,124.65,Site,0,0,Pico
344,2025-11-22,146,1,68.73,Marketplace,0,0,Normal
345,2025-11-22,147,1,21.44,Marketplace,0,1,Pico
346,2025-11-22,150,1,28.09,Site,0,1,Pico
347,2025-11-22,151,3,23.44,Site,0,0,Pico
348,2025-11-22,152,1,82.92,Site,0,0,Normal
349,2025-11-22,155,1,19.27,Site,0,0,Pico
350,2025-11-22,157,4,36.41,Site,0,0,Normal
351,2025-11-22,158,1,139.61,Marketplace,0,0,Normal
352,2025-11-22,160,1,18.32,Site,0,1,Pico
353,2025-11-22,161,3,88.69,Marketplace,0,0,Normal
354,2025-11-22,164,1,279.03,Site,0,1,Pico
355,2025-11-22,167,3,36.99,Site,0,1,Pico
356,2025-11-22,169,2,21.4,Site,0,0,Normal
357,2025-11-22,173,1,274.43,Site,0,0,Pico
358,2025-11-22,175,1,38.07,Marketplace,0,0,Normal
359,2025-11-22,176,1,118.59,Marketplace,0,0,Normal
360,2025-11-22,177,4,259.25,Site,1,0,Pico
361,2025-11-22,180,1,120.02,Marketplace,0,0,Normal
362,2025-11-22,182,5,42.05,Marketplace,1,1,Pico
363,2025-11-22,183,1,32.17,Marketplace,0,0,Pico
364,2025-11-22,184,1,207.11,Site,0,0,Normal
365,2025-11-22,186,2,44.79,Site,0,0,Normal
366,2025-11-22,187,1,235.86,Site,0,0,Normal
367,2025-11-22,190,1,21.32,marketplace,0,0,Normal
368,2025-11-22,191,1,112.76,Site,0,0,Pico
369,2025-11-22,192,2,43.83,Site,0,0,Normal
370,2025-11-22,194,2,25.94,Marketplace,0,1,Pico
371,2025-11-22,199,1,409.21,Loja Física,0,0,Normal
372,2025-11-22,200,2,121.05,Loja Física,0,0,Normal
373,2025-11-22,206,3,220.17,Site,0,0,Normal
374,2025-11-22,207,1,8.39,Marketplace,0,0,Pico
375,2025-11-22,210,2,25.18,Loja Física,0,0,Pico
376,2025-11-22,212,1,31.67,Site,0,0,Pico
377,2025-11-22,213,1,31.03,Loja Física,0,0,Pico
378,2025-11-22,214,1,180.76,Site,0,0,Normal
379,2025-11-22,216,1,81.64,Marketplace,0,0,Normal
380,2025-11-22,219,4,21.26,Marketplace,1,0,Pico
381,2025-11-22,224,1,284.12,Site,0,1,Pico
382,2025-11-22,225,1,138.8,Site,0,0,Pico
383,2025-11-22,226,6,98.4,Marketplace,1,0,Pico
384,2025-11-22,229,2,33.6,Site,1,0,Pico
385,2025-11-22,232,1,87.74,Loja Física,0,0,Normal
386,2025-11-22,236,2,32.43,Site,0,0,Normal
387,2025-11-22,238,2,33.18,Site,0,0,Pico
388,2025-11-22,239,1,42.98,Marketplace,0,0,Normal
389,2025-11-22,241,1,265.69,Loja Física,0,0,Normal
390,2025-11-22,242,1,63.4,Site,0,0,Pico
391,2025-11-22,243,6,21.44,Site,0,1,Pico
392,2025-11-22,245,3,86.68,Site,0,0,Pico
393,2025-11-22,246,1,229.07,Site,0,0,Normal
394,2025-11-22,247,1,21.19,Site,0,1,Pico
395,2025-11-22,249,2,110.75,Marketplace,0,0,Pico
396,2025-11-23,2,1,49.12,Marketplace,0,1,Pico
397,2025-11-23,5,4,142.97,Site,1,0,Pico
398,2025-11-23,6,2,26.9,Site,0,0,Pico
399,2025-11-23,9,4,97.28,Marketplace,1,0,Pico
400,2025-11-23,10,1,27.39,Site,0,0,Pico
401,2025-11-23,11,1,38.05,Site,0,0,Normal
402,2025-11-23,16,1,139.08,Loja Física,0,0,Normal
403,2025-11-23,20,1,28.75,Marketplace,0,0,Normal
404,2025-11-23,23,1,51.77,Site,0,0,Pico
405,2025-11-23,26,1,17.38,Site,0,0,Normal
406,2025-11-23,29,1,189.77,Site,0,0,Normal
407,2025-11-23,32,4,36.12,Site,1,0,Pico
408,2025-11-23,33,3,43.42,Site,0,1,Pico
409,2025-11-23,36,2,114.09,Marketplace,0,0,Pico
410,2025-11-23,39,3,22.78,Marketplace,0,0,Pico
411,2025-11-23,40,2,31.94,Site,0,0,Normal
412,2025-11-23,42,1,101.01,Marketplace,0,0,Normal
413,2025-11-23,46,1,136.47,Site,0,0,Normal
414,2025-11-23,48,2,90.54,Loja Física,0,1,Pico
415,2025-11-23,49,5,42.6,Market Place,1,0,Pico
416,2025-11-23,52,2,17.86,Marketplace,1,0,Pico
417,2025-11-23,58,5,64.51,Site,1,0,Pico
418,2025-11-23,60,1,23.86,Loja Física,0,0,Normal
419,2025-11-23,62,2,148.68,Site,0,0,Pico
420,2025-11-23,63,1,123.11,Loja Física,0,0,Pico
421,2025-11-23,64,1,34.44,Marketplace,0,0,Pico
422,2025-11-23,65,1,39.85,Site,0,0,Pico
423,2025-11-23,66,6,115.56,Site,1,0,Pico
424,2025-11-23,68,2,61.63,Site,1,0,Pico
425,2025-11-23,70,2,37.97,Site,0,0,Normal
426,2025-11-23,72,1,119.72,Site,0,0,Normal
427,2025-11-23,76,2,42.19,Loja Física,0,0,Normal
428,2025-11-23,80,1,135.58,Marketplace,0,0,Normal
429,2025-11-23,81,2,243.96,Marketplace,0,0,Normal
430,2025-11-23,85,2,266.63,Site,0,0,Pico
431,2025-11-23,86,1,40.16,Site,0,0,Pico
432,2025-11-23,89,1,21.63,Marketplace,0,0,Pico
433,2025-11-23,91,4,29.96,Marketplace,0,0,Normal
434,2025-11-23,93,1,141.99,marketplace,0,0,Normal
435,2025-11-23,97,3,42.66,Marketplace,0,0,Pico
436,2025-11-23,99,4,139.86,Site,1,0,Pico
437,2025-11-23,101,4,22.67,Marketplace,0,0,Normal
438,2025-11-23,106,1,99.49,Site,0,0,Normal
439,2025-11-23,109,2,38.05,Marketplace,0,0,Normal
440,2025-11-23,116,1,10.82,Site,0,0,Normal
441,2025-11-23,119,1,23.27,Marketplace,0,0,Normal
442,2025-11-23,121,2,85.93,Site,0,0,Pico
443,2025-11-23,124,2,61.58,Marketplace,0,0,Pico
444,2025-11-23,125,9,36.47,Site,1,0,Pico
445,2025-11-23,128,2,34.68,Loja Física,0,0,Normal
446,2025-11-23,129,1,60.13,site,0,0,Normal
447,2025-11-23,131,2,43.24,Site,0,0,Pico
448,2025-11-23,132,6,120.97,Marketplace,1,0,Pico
449,2025-11-23,134,3,44.85,Marketplace,1,0,Pico
450,2025-11-23,139,1,69.72,Marketplace,0,0,Pico
451,2025-11-23,144,5,37.42,Site,1,0,Pico
452,2025-11-23,145,4,124.65,Site,0,0,Pico
453,2025-11-23,146,2,68.73,Site,0,0,Normal
454,2025-11-23,147,1,21.44,Site,0,1,Pico
455,2025-11-23,150,9,28.09,Site,1,1,Pico
456,2025-11-23,151,1,23.44,Loja Física,0,0,Pico
457,2025-11-23,152,1,82.92,Marketplace,0,0,Normal
458,2025-11-23,153,2,37.91,Site,0,0,Normal
459,2025-11-23,157,1,36.41,Marketplace,0,0,Normal
460,2025-11-23,159,3,38.7,Site,0,0,Pico
461,2025-11-23,160,6,18.32,Site,1,1,Pico
462,2025-11-23,161,1,88.69,Loja Física,0,0,Normal
463,2025-11-23,162,2,34.59,Marketplace,0,0,Normal
464,2025-11-23,163,1,258.46,Loja Física,0,1,Pico
465,2025-11-23,164,1,279.03,Marketplace,0,1,Pico
466,2025-11-23,166,1,26.6,Site,0,0,Normal
467,2025-11-23,167,1,36.99,marketplace,0,0,Normal
468,2025-11-23,169,1,21.4,Site,0,0,Normal
469,2025-11-23,170,1,398.25,Site,0,0,Normal
470,2025-11-23,171,1,21.43,marketplace,0,0,Normal
471,2025-11-23,172,1,191.16,Site,0,0,Normal
472,2025-11-23,173,5,274.43,Site,1,0,Pico
473,2025-11-23,175,4,38.07,Marketplace,0,0,Normal
